timestamps,x_array,y_array,z_array
496,-4.1217,0.43784,23.578
497,-3.5237,0.79145,19.057
498,-2.5566,1.2214,13.964
499,-1.8793,1.7,10.464
500,-1.8591,1.6656,9.3332
501,-1.5915,1.6413,9.0936
502,-1.2693,1.3681,8.4225
503,-0.80752,1.2636,7.3953
504,-0.50176,1.2858,6.4376
505,-0.51149,1.3243,5.785
506,-0.40163,1.3942,5.3894
507,-0.46958,1.5472,5.4011
508,-0.50594,1.7138,5.2789
509,-0.46034,2.0057,4.9764
510,-0.29976,2.2129,4.7406
511,0.12714,2.4061,4.8242
512,0.4692,2.4007,5.1739
513,0.27885,2.284,6.0259
514,0.12413,2.1499,6.365
515,0.31699,2.5732,6.5304
516,0.40928,2.712,6.8893
517,0.35924,2.6274,7.449
518,0.90515,2.9425,7.679
519,1.2488,3.3581,9.0366
520,1.1997,3.7392,11.407
521,0.98378,3.8046,14.406
522,0.24679,3.109,16.592
523,-0.20897,2.8498,17.245
524,-0.32609,2.5514,16.971
525,-0.096189,2.3554,16.771
526,-0.090807,2.1886,16.488
527,-0.48565,2.1153,15.19
528,-0.99513,2.1582,13.083
529,-1.2763,2.2976,10.767
530,-1.3342,2.2587,8.9685
531,-1.2935,2.1049,7.6178
532,-1.0862,1.9293,6.8423
533,-0.77771,1.6309,6.5494
534,-0.32434,1.4011,6.4499
535,0.11116,1.166,6.2087
536,0.54492,1.089,5.675
537,0.74074,1.0695,5.0956
538,0.62442,1.0762,4.644
539,0.36442,1.1613,4.3484
540,0.099944,1.2652,4.0501
541,-0.1389,1.4811,3.9271
542,-0.24801,1.7261,3.9598
543,-0.45994,1.7388,4.5785
544,-0.83816,1.6087,5.8462
545,-1.1088,1.5268,7.091
546,-1.4423,1.5315,8.1984
547,-1.6767,1.1708,8.3094
548,-1.0984,1.1824,8.7442
549,-0.40962,1.418,10.154
550,-1.3963,1.0428,11.098
551,-2.1001,0.81345,11.524
552,-1.6883,1.2603,12.446
553,-0.87203,1.0131,15.196
554,-0.5307,-0.56632,21.359
555,-2.2686,1.4432,10.221
556,-0.97185,1.1351,7.0579
557,-0.11999,1.6724,4.9005
558,0.50475,2.7985,7.0724
559,0.89076,3.9443,14.115
560,-0.47651,1.7189,13.975
561,-1.0522,0.95672,8.1619
562,-0.33736,0.81425,6.473
563,-0.47962,0.87271,4.0986
564,-0.1196,0.97973,7.1454
565,-1.6527,1.9692,18.175
566,-1.5828,0.17363,16.786
567,-1.6183,0.28514,7.2247
568,0.17908,0.82129,4.5175
569,0.27736,2.1985,3.9012
570,0.12487,2.5673,8.6092
571,0.50838,2.2597,15.041
572,-1.3585,2.4057,18.997
573,-1.6478,2.0793,18.542
574,-1.0841,1.7305,16.643
575,-0.77377,1.1453,15.241
576,-0.62445,1.0647,14.324
577,-0.49126,1.0779,12.832
578,-0.45607,1.1186,11.454
579,-0.78446,0.94719,10.189
580,-0.90193,0.78473,8.8039
581,-0.72058,0.65831,7.5148
582,-0.41608,0.66514,6.6216
583,-0.11694,0.63704,6.187
584,-0.038987,0.65209,6.0983
585,-0.2861,0.59394,5.9942
586,-0.25036,0.5518,5.1655
587,-0.056723,0.65678,4.2112
588,0.039073,0.7294,3.3894
589,-0.046859,0.89058,2.8205
590,-0.16237,1.0257,2.5626
591,-0.099244,1.1386,2.4491
592,-0.092129,1.3003,2.7222
593,-0.011167,1.461,3.1794
594,0.33995,1.4967,3.9938
595,0.7375,1.3683,7.1907
596,0.16725,0.61222,10.365
597,0.41037,0.85474,11.487
598,-0.14613,0.87821,12.832
599,-0.071328,1.604,13.617
600,0.1912,2.7469,14.846
601,-1.0941,3.063,16.016
602,-2.0278,3.01,16.97
603,-2.0259,3.1634,17.772
604,-1.8502,2.9812,19.201
605,-1.9027,2.2564,19.618
606,-1.7229,1.1561,17.818
607,-1.3812,0.70265,14.996
608,-1.2249,0.62684,12.558
609,-1.3605,0.67271,10.963
610,-2.0059,0.4261,9.8047
611,-2.3227,0.34965,8.5112
612,-2.0579,0.49902,7.2058
613,-1.5825,0.72381,6.3286
614,-1.2629,0.74284,5.6809
615,-0.87655,0.83192,5.4896
616,-0.29013,1.2026,5.8317
617,0.089285,1.4056,6.3131
618,0.37703,1.5144,6.675
619,0.51106,1.5713,6.5579
620,0.68418,1.6414,5.9001
621,0.96849,1.9944,5.1999
622,1.0511,2.1928,5.1403
623,1.0381,2.263,5.6149
624,0.82701,2.17,5.6676
625,0.92977,2.3388,5.3353
626,1.4555,2.7928,5.0965
627,1.8148,2.7478,5.6803
628,1.5676,2.3858,6.9226
629,1.2526,2.7629,8.242
630,0.65755,3.361,9.5392
631,0.53261,3.7715,11.366
632,0.92469,3.8279,12.672
633,0.92035,3.7769,13.604
634,-0.49001,3.7785,14.822
635,-1.9251,3.7354,16.528
636,-2.1736,3.0346,17.384
637,-0.7831,2.3084,15.982
638,0.83338,2.2761,13.563
639,1.1253,2.1951,11.925
640,0.8097,2.4072,11.421
641,-0.000287,2.1169,11.171
642,-0.5728,1.5723,10.57
643,-0.51062,1.2797,9.045
644,-0.22315,1.0846,7.4253
645,0.2411,1.1849,6.5984
646,0.55426,1.2691,6.4517
647,0.60878,1.1784,6.3098
648,0.42873,1.0159,6.069
649,0.29927,0.93688,5.4726
650,0.31172,1.0486,4.7321
651,0.29472,1.326,4.1035
652,0.30784,1.7979,3.7977
653,0.25058,2.2191,3.78
654,0.00838,2.3881,4.3536
655,-0.34043,2.3106,5.598
656,-0.44794,2.1257,6.8681
657,-0.12481,2.3485,8.238
658,0.089275,2.808,9.3874
659,0.13949,3.1185,10.201
660,-0.34835,3.1618,11.421
661,-1.1998,3.3654,13.988
662,-1.1822,3.3693,15.832
