timestamps,x_array,y_array,z_array
688,-2.3591,-7.0948,1.8871
689,0.902,-2.1246,2.4117
690,-11.528,-12.391,-20.216
691,-7.9164,-18.123,4.8213
692,2.0497,-12.06,4.8635
693,-7.0149,-7.498,3.1724
694,-3.274,-8.9984,2.2531
695,-3.6429,-7.2435,-0.18527
696,-4.7056,-14.909,0.73683
697,-4.6265,-15.115,3.0359
698,-1.0335,-11.317,4.259
699,-1.7569,-5.4504,3.522
700,3.6193,-1.9356,-0.29851
701,-11.94,-10.73,-7.1179
702,0.063935,-8.0265,4.1136
703,-0.61869,-12.822,2.3241
704,-5.3117,-6.6694,2.3019
705,-1.126,-7.9775,1.2387
706,-9.1903,-7.8331,1.0309
707,-9.7526,-14.156,-0.075523
708,-2.7983,-16.23,3.1931
709,-1.6076,-10.584,4.499
710,-0.58472,-4.4305,3.6646
711,3.0087,-2.9402,-1.2857
712,-7.9358,-3.264,-4.2425
713,3.2772,-2.111,-1.3448
714,-3.0893,-13.546,-3.0726
715,-2.889,-7.4771,0.48596
716,-0.57463,-8.8659,-2.0204
717,-10.814,-9.0632,-1.2588
718,-9.8601,-13.177,-3.8418
719,1.3678,-18.743,-0.23709
720,-2.1086,-8.3152,2.8475
721,0.63648,-2.554,2.5561
722,-10.435,-9.702,-17.967
723,-7.6415,-19.081,3.0477
724,1.9498,-10.635,5.6872
725,-7.2655,-7.7521,3.2717
726,-3.5054,-8.6212,1.8116
727,-4.0808,-7.5616,0.079717
728,-4.4079,-12.91,-0.069949
729,-3.0888,-14.49,0.045001
730,-1.3018,-13.614,0.68487
731,-1.32,-5.5624,3.0695
732,2.5811,-1.9266,0.52625
733,-25.108,-20.27,-7.3814
734,0.52052,-19.967,-4.4717
735,0.26702,-9.941,3.416
736,-6.5781,-7.099,1.8754
737,-3.4946,-7.9202,1.2959
738,-3.6894,-6.4496,0.97781
739,-5.0113,-11.768,-3.3526
740,-6.7024,-14.973,2.7231
741,-1.4343,-12.725,1.9665
742,-1.8296,-5.4921,3.6326
743,3.6576,-2.2764,0.68001
744,-19.748,-15.918,-6.7804
745,-0.00815,-10.348,1.0861
746,-3.3096,-14.579,3.9606
747,-1.3648,-8.3947,0.76557
748,-3.4296,-9.3395,1.15
749,-4.5257,-7.6602,0.98478
750,-6.2916,-13.103,2.4081
751,-2.8469,-15.804,4.8813
752,-0.55202,-11.052,4.2632
753,-1.6844,-4.9397,2.7994
754,1.7216,-3.893,0.29352
755,-18.48,-13.249,-5.2177
756,-6.2964,-15.145,3.6082
